style,type,value,system,,
Common,given_name,Adrik,dungeons & dragons (2024),,
Common,given_name,Alvyn,dungeons & dragons (2024),,
Common,given_name,Aurora,dungeons & dragons (2024),,
Common,given_name,Eldeth,dungeons & dragons (2024),,
Common,given_name,Eldon,dungeons & dragons (2024),,
Common,given_name,Farris,dungeons & dragons (2024),,
Common,given_name,Kathra,dungeons & dragons (2024),,
Common,given_name,Kellen,dungeons & dragons (2024),,
Common,given_name,Lily,dungeons & dragons (2024),,
Common,given_name,Nissa,dungeons & dragons (2024),,
Common,given_name,Xinli,dungeons & dragons (2024),,
Common,given_name,Zorra,dungeons & dragons (2024),,
Common,family_name,Brightsun,dungeons & dragons (2024),,
Common,family_name,Dundragon,dungeons & dragons (2024),,
Common,family_name,Frostbeard,dungeons & dragons (2024),,
Common,family_name,Garrick,dungeons & dragons (2024),,
Common,family_name,Goodbarrel,dungeons & dragons (2024),,
Common,family_name,Greycastle,dungeons & dragons (2024),,
Common,family_name,Ironfist,dungeons & dragons (2024),,
Common,family_name,Jaerin,dungeons & dragons (2024),,
Common,family_name,Merryweather,dungeons & dragons (2024),,
Common,family_name,Redthorn,dungeons & dragons (2024),,
Common,family_name,Stormriver,dungeons & dragons (2024),,
Common,family_name,Wren,dungeons & dragons (2024),,
Guttural,given_name,Abzug,dungeons & dragons (2024),,
Guttural,given_name,Bajok,dungeons & dragons (2024),,
Guttural,given_name,Bharash,dungeons & dragons (2024),,
Guttural,given_name,Grovis,dungeons & dragons (2024),,
Guttural,given_name,Gruuna,dungeons & dragons (2024),,
Guttural,given_name,Hokrun,dungeons & dragons (2024),,
Guttural,given_name,Mardred,dungeons & dragons (2024),,
Guttural,given_name,Rhogar,dungeons & dragons (2024),,
Guttural,given_name,Skuldark,dungeons & dragons (2024),,
Guttural,given_name,Thokk,dungeons & dragons (2024),,
Guttural,given_name,Urzul,dungeons & dragons (2024),,
Guttural,given_name,Varka,dungeons & dragons (2024),,
Guttural,family_name,Burska,dungeons & dragons (2024),,
Guttural,family_name,Gruuthok,dungeons & dragons (2024),,
Guttural,family_name,Hrondl,dungeons & dragons (2024),,
Guttural,family_name,Jarzzok,dungeons & dragons (2024),,
Guttural,family_name,Kraltus,dungeons & dragons (2024),,
Guttural,family_name,Shamog,dungeons & dragons (2024),,
Guttural,family_name,Skrangval,dungeons & dragons (2024),,
Guttural,family_name,Ungart,dungeons & dragons (2024),,
Guttural,family_name,Uuthrakt,dungeons & dragons (2024),,
